,Code,Name,Orig Code,Ensemble,Trans Type,Peak Time,Peak SLP,Peak Lon,Peak Lat,Trop Peak Time,Trop Begin Time,Trop Peak SLP,Trop Peak Lon,Trop Peak Lat,Genesis Time,Genesis SLP,Genesis Lon,Genesis Lat,Final Time,Final SLP,Final Lon,Final Lat,Trop Begin SLP,Trop Begin Lon,Trop Begin Lat,ET Begin Time,ET Begin SLP,ET Begin Lon,ET Begin Lat,ET Complete Time,ET Complete SLP,ET Complete Lon,ET Complete Lat
0,TC190002,Beatrice,0026,A,2,1900-09-03 06:00:00,933.33,-53.61,30.15,1900-09-03 06:00:00,1900-08-29 06:00:00,933.33,-53.61,30.15,1900-08-26 12:00:00,1003.52,-7.32,15.81,1900-09-10 06:00:00,978.17,-16.15,55.43,1003.29,-27.73,17.28,1900-09-04 06:00:00,943.55,-50.41,35.84,1900-09-10 06:00:00,978.17,-16.15,55.43
1,TC190006,Ernest,0038,A,2,1900-11-22 18:00:00,991.58,-36.06,34.02,1900-11-22 18:00:00,1900-11-21 12:00:00,991.58,-36.06,34.02,1900-11-21 12:00:00,1006.64,-35.72,24.28,1900-11-25 12:00:00,998.31,-47.52,55.48,1006.64,-35.72,24.28,1900-11-24 18:00:00,998.89,-42.28,44.18,1900-11-25 00:00:00,998.75,-42.63,48.24
2,TC190103,Kinen,0079,A,2,1901-10-13 18:00:00,974.73,-35.58,40.53,1901-10-13 18:00:00,1901-10-10 06:00:00,974.73,-35.58,40.53,1901-10-09 00:00:00,1010.36,-42.7,28.55,1901-10-16 18:00:00,1009.48,-9.5,44.25,1000.39,-39.96,26.88,1901-10-15 06:00:00,984.17,-21.7,47.01,1901-10-16 00:00:00,999.49,-13.75,44.5
3,TC190202,Mario,0100,A,2,1902-02-03 18:00:00,973.36,-28.79,33.46,1902-02-03 18:00:00,1902-01-30 06:00:00,973.36,-28.79,33.46,1902-01-30 06:00:00,999.74,-63.74,21.55,1902-02-07 06:00:00,997.91,-17.5,54.25,999.74,-63.74,21.55,1902-02-06 12:00:00,991.99,-22.84,47.13,1902-02-07 00:00:00,998.08,-21.25,51.41
4,TC190205,Nicole,0120,A,2,1902-08-17 06:00:00,903.29,-66.04,28.17,1902-08-17 06:00:00,1902-08-12 06:00:00,903.29,-66.04,28.17,1902-08-12 06:00:00,1008.83,-48.02,18.24,1902-08-22 18:00:00,974.72,-20.06,59.97,1008.83,-48.02,18.24,1902-08-20 00:00:00,952.77,-62.46,38.07,1902-08-21 06:00:00,968.29,-49.44,50.48
5,TC190206,Quinn,0124,A,2,1902-09-05 00:00:00,951.82,-53.32,42.13,1902-09-03 18:00:00,1902-08-25 06:00:00,957.33,-65.07,34.07,1902-08-23 18:00:00,1009.22,-28.68,10.98,1902-09-06 18:00:00,977.02,-19.23,58.42,1010.25,-36.41,13.2,1902-09-04 12:00:00,971.3,-59.24,38.07,1902-09-05 18:00:00,972.26,-39.48,53.67
6,TC190305,Christine,0168,A,2,1903-07-15 06:00:00,931.32,-85.46,27.45,1903-07-15 06:00:00,1903-07-10 06:00:00,931.32,-85.46,27.45,1903-07-10 06:00:00,1011.27,-66.5,21.44,1903-07-20 06:00:00,999.48,-57.0,51.5,1011.27,-66.5,21.44,1903-07-19 12:00:00,1002.83,-68.32,42.57,1903-07-19 18:00:00,1002.24,-65.41,44.01
7,TC190307,Elyse,0171,A,2,1903-08-13 12:00:00,990.45,-53.0,44.0,1903-08-12 12:00:00,1903-08-07 00:00:00,991.47,-67.76,39.2,1903-08-07 00:00:00,1011.2,-80.63,30.48,1903-08-13 12:00:00,990.45,-53.0,44.0,1011.2,-80.63,30.48,1903-08-12 18:00:00,993.38,-64.75,39.75,1903-08-13 06:00:00,991.7,-56.25,42.5
8,TC190309,Hope,0175,A,2,1903-09-08 00:00:00,929.66,-77.98,30.55,1903-09-08 00:00:00,1903-09-01 12:00:00,929.66,-77.98,30.55,1903-09-01 12:00:00,1009.29,-58.77,21.05,1903-09-15 18:00:00,979.91,-58.77,57.7,1009.29,-58.77,21.05,1903-09-10 00:00:00,946.7,-77.42,33.15,1903-09-13 18:00:00,973.9,-59.62,48.55
9,TC190312,Jacob,0183,A,2,1903-10-20 00:00:00,939.47,-46.4,38.62,1903-10-19 06:00:00,1903-10-09 12:00:00,941.52,-48.35,35.79,1903-10-09 12:00:00,1007.71,-62.01,18.82,1903-10-22 18:00:00,992.77,-39.65,59.29,1007.71,-62.01,18.82,1903-10-19 12:00:00,940.99,-47.8,36.57,1903-10-21 18:00:00,966.39,-45.69,50.38
10,TC190408,Nicholas,0232,A,2,1904-08-07 00:00:00,987.25,-11.5,51.0,1904-08-03 00:00:00,1904-07-29 06:00:00,987.44,-54.84,36.34,1904-07-29 06:00:00,1008.09,-65.63,34.42,1904-08-08 00:00:00,1003.91,7.5,50.25,1008.09,-65.63,34.42,1904-08-05 06:00:00,1002.53,-42.21,45.36,1904-08-06 00:00:00,1004.74,-30.75,48.25
11,TC190410,Samson,0236,A,2,1904-08-25 00:00:00,933.71,-60.72,27.57,1904-08-25 00:00:00,1904-08-18 12:00:00,933.71,-60.72,27.57,1904-08-18 12:00:00,1010.19,-45.43,16.94,1904-08-29 12:00:00,954.91,-17.75,55.0,1010.19,-45.43,16.94,1904-08-27 00:00:00,938.56,-58.19,37.45,1904-08-28 00:00:00,970.64,-51.61,48.33
12,TC190412,Tiffany,0239,A,2,1904-09-09 18:00:00,960.45,-47.21,39.94,1904-09-09 06:00:00,1904-09-06 06:00:00,960.48,-48.57,37.1,1904-09-06 06:00:00,1010.86,-44.27,30.63,1904-09-13 06:00:00,969.9,-5.25,54.0,1010.86,-44.27,30.63,1904-09-09 18:00:00,960.45,-47.21,39.94,1904-09-11 18:00:00,993.16,-25.75,45.25
13,TC190509,Frances,0288,A,2,1905-09-10 00:00:00,922.7,-61.74,30.53,1905-09-10 00:00:00,1905-09-03 00:00:00,922.7,-61.74,30.53,1905-09-02 12:00:00,1012.93,-40.88,14.27,1905-09-17 06:00:00,1012.35,-15.25,42.0,1012.53,-44.46,16.18,1905-09-12 18:00:00,950.96,-55.67,44.13,1905-09-13 12:00:00,974.4,-43.67,47.6
14,TC190512,Keith,0293,A,2,1905-09-26 18:00:00,952.67,-60.77,42.1,1905-09-26 18:00:00,1905-09-25 00:00:00,952.67,-60.77,42.1,1905-09-25 00:00:00,1003.51,-63.88,35.84,1905-09-28 12:00:00,1011.74,-45.89,52.59,1003.51,-63.88,35.84,1905-09-27 06:00:00,965.05,-57.53,45.95,1905-09-27 12:00:00,982.18,-55.53,47.71
15,TC190513,Lily,0296,A,2,1905-10-09 18:00:00,976.88,-28.99,13.73,1905-10-09 18:00:00,1905-10-08 00:00:00,976.88,-28.99,13.73,1905-10-08 00:00:00,1002.34,-30.35,13.17,1905-10-16 18:00:00,995.2,-13.16,30.25,1002.34,-30.35,13.17,1905-10-15 06:00:00,996.15,-26.75,24.24,1905-10-16 06:00:00,996.71,-19.31,26.76
16,TC190610,Wendy,0343,A,2,1906-08-30 00:00:00,939.55,-60.98,36.16,1906-08-29 06:00:00,1906-08-25 00:00:00,967.22,-63.24,32.63,1906-08-25 00:00:00,1012.42,-70.33,22.86,1906-09-03 00:00:00,1012.4,-37.76,45.35,1012.42,-70.33,22.86,1906-08-29 12:00:00,954.41,-62.63,33.58,1906-09-01 12:00:00,999.01,-49.5,43.4
17,TC190611,Anna,0363,A,2,1906-12-06 18:00:00,969.48,-40.08,41.17,1906-12-06 18:00:00,1906-12-06 00:00:00,969.48,-40.08,41.17,1906-12-06 00:00:00,989.9,-44.13,37.77,1906-12-10 18:00:00,1010.08,-21.25,34.75,989.9,-44.13,37.77,1906-12-09 12:00:00,1001.29,-26.0,37.75,1906-12-09 18:00:00,1002.85,-24.5,36.75
18,TC190706,Esther,0393,A,2,1907-09-25 00:00:00,911.21,-55.21,26.88,1907-09-25 00:00:00,1907-09-13 12:00:00,911.21,-55.21,26.88,1907-09-13 06:00:00,1006.99,-24.19,10.92,1907-09-29 06:00:00,940.91,-30.73,59.98,1007.47,-25.62,10.74,1907-09-26 18:00:00,936.9,-49.55,35.35,1907-09-29 00:00:00,938.74,-30.66,59.37
19,TC190903,Tatiana,0484,A,2,1909-09-04 06:00:00,987.98,-29.84,40.4,1909-09-04 06:00:00,1909-09-01 18:00:00,987.98,-29.84,40.4,1909-09-01 18:00:00,1012.2,-33.15,34.97,1909-09-06 00:00:00,1011.22,-14.75,46.25,1012.2,-33.15,34.97,1909-09-05 00:00:00,993.31,-25.17,43.72,1909-09-05 06:00:00,997.28,-22.65,44.76
20,TC190907,Bella,0497,A,2,1909-11-09 18:00:00,981.6,-14.97,47.44,1909-11-04 12:00:00,1909-10-31 12:00:00,983.18,-45.38,38.16,1909-10-31 12:00:00,1004.04,-69.47,26.1,1909-11-10 18:00:00,989.44,-12.25,57.5,1004.04,-69.47,26.1,1909-11-07 06:00:00,995.95,-32.86,39.66,1909-11-10 00:00:00,985.37,-13.73,48.77
